|id_entity|type|gender|occupation|generation|region
7093|urn:uuid:5e01d7a7-527d-40a6-aa04-05f3e929a533|jurist|male|politician|1911-1931|Western Europe
7094|urn:uuid:5e01d7a7-527d-40a6-aa04-05f3e929a533|jurist|male|writer|1911-1931|Western Europe
7095|urn:uuid:23c694f3-a249-438e-928f-197c9ebc15e9|jurist|male|politician|1931-1951|Western Europe
7096|urn:uuid:b16f16da-8394-476f-9ca1-d7fca0da255b|economist|male|scientist|1831-1851|Western Europe
7098|urn:uuid:c84dccd3-70cd-4fc9-8a7e-d69da2a684fd|jurist/economist|male|politician|1791-1811|Western Europe
7099|urn:uuid:c84dccd3-70cd-4fc9-8a7e-d69da2a684fd|jurist/economist|male|scientist|1791-1811|Western Europe
7100|urn:uuid:c84dccd3-70cd-4fc9-8a7e-d69da2a684fd|jurist/economist|male|writer|1791-1811|Western Europe
7101|urn:uuid:2615c317-c3a4-4146-ad1e-ee0fc39638c9|economist|male|scientist|1891-1911|Western Europe
7103|urn:uuid:a066fd95-7199-4cd1-8694-a1da4bcc83d8|jurist|male|politician|1911-1931|Western Europe
7104|urn:uuid:a066fd95-7199-4cd1-8694-a1da4bcc83d8|jurist|male|media person|1911-1931|Western Europe
7105|urn:uuid:04159735-80cd-4e4f-9d6d-0781b81ec9e5|jurist|male|politician|1791-1811|Western Europe
7106|urn:uuid:04159735-80cd-4e4f-9d6d-0781b81ec9e5|jurist|male|media person|1791-1811|Western Europe
7107|urn:uuid:04159735-80cd-4e4f-9d6d-0781b81ec9e5|jurist|male|writer|1791-1811|Western Europe
7108|urn:uuid:04159735-80cd-4e4f-9d6d-0781b81ec9e5|jurist|male|scientist|1791-1811|Western Europe
7109|urn:uuid:9ccec773-3904-453e-a815-aac83c13f9d3|jurist|male|politician|1931-1951|Western Europe
7110|urn:uuid:9ccec773-3904-453e-a815-aac83c13f9d3|jurist|male|scientist|1931-1951|Western Europe
7111|urn:uuid:9ccec773-3904-453e-a815-aac83c13f9d3|jurist|male|other|1931-1951|Western Europe
7112|urn:uuid:b1ec12dd-ffad-4928-9385-5f3c5799d11c|jurist|female|politician|1931-1951|Western Europe
7113|urn:uuid:0999f709-30d9-4b65-8a35-c8c9c21173b7|jurist|male|politician|1931-1951|Western Europe
7114|urn:uuid:adcbc861-9727-441c-8f09-d029e71773da|jurist|male|politician|1911-1931|Western Europe
7115|urn:uuid:576da2b9-984e-4e3b-9da5-7231f8a4387b|jurist|male|politician|1771-1791|Southern Europe
7117|urn:uuid:27fed483-078f-4308-b414-db6d18caade8|economist|male|politician|1931-1951|Scandinavia
7118|urn:uuid:27fed483-078f-4308-b414-db6d18caade8|economist|male|writer|1931-1951|Scandinavia
7121|urn:uuid:53952593-fb41-43e4-bbf9-065999a6c050|jurist|male|politician|1911-1931|Central Europe
7122|urn:uuid:53952593-fb41-43e4-bbf9-065999a6c050|jurist|male|activist|1911-1931|Central Europe
7123|urn:uuid:f93a2bbd-6dd6-489c-aade-95e4ba4320f9|economist|male|scientist|1931-1951|Central Europe
7124|urn:uuid:d5551df8-dc0c-4b3e-a2c9-8b6de6a12a99|economist|male|scientist|1891-1911|Central Europe
7125|urn:uuid:ca05b76f-50f6-43ed-860d-5e59c7bdeb95|economist|male|scientist|1931-1951|Central Europe
7126|urn:uuid:df745d9b-376c-4911-8681-65925e4e5552|economist|male|scientist|1911-1931|Central Europe
7127|urn:uuid:cca39c05-2b80-4441-bf5e-a8e66f9be63b|economist|male|scientist|1931-1951|Central Europe
7128|urn:uuid:677fec8e-1e50-4200-9e81-cb210cb2ae35|economist|male|scientist|1931-1951|Central Europe
7129|urn:uuid:5d14c651-a4a7-41e1-a464-44df3afca933|economist|male|scientist|1891-1911|Central Europe
7130|urn:uuid:b0d9c08d-7b0f-4505-90d8-9e106ebbb461|economist|male|scientist|1911-1931|Central Europe
7131|urn:uuid:0657e53d-2dff-4720-b7a1-31d4da3c4d01|jurist/economist|male|politician|1911-1931|Central Europe
7132|urn:uuid:1acf9dab-c5ea-4937-8a68-1fad7962d13e|jurist|female|scientist|1931-1951|Central Europe
7133|urn:uuid:0b80a8c8-ea68-4e0f-ba9e-0c104127733b|jurist|male|politician|1931-1951|Central Europe
7134|urn:uuid:7c6e50b4-2912-434d-84b4-2b165416f834|economist|male|scientist|1911-1931|Central Europe
7135|urn:uuid:8f4834a4-9a74-4bb6-aaf8-c9b5d454bf7d|economist|male|politician|1931-1951|Central Europe
7136|urn:uuid:f373ca91-7d8d-4aa7-930b-79b7ede81c4e|jurist|male|politician|1811-1831|Central Europe
7137|urn:uuid:cfe1798a-69f7-4f09-aad4-c5f3e52d41b0|economist|male|politician|1931-1951|Central Europe
7138|urn:uuid:cfe1798a-69f7-4f09-aad4-c5f3e52d41b0|economist|male|scientist|1931-1951|Central Europe
7139|urn:uuid:a5b28a6d-ef63-498a-9b6e-bad8ed03963c|economist|male|politician|1931-1951|Central Europe
7140|urn:uuid:4758727a-db45-4f15-8de4-853859900284|economist|male|politician|1931-1951|Central Europe
7141|urn:uuid:8051970c-ea52-43fd-b8c3-00229b27aa4b|jurist|male|other_occupation|1911-1931|Central Europe
7142|urn:uuid:2b5e79ec-d07d-4600-91d9-3ac84396bcc5|jurist|male|politician|1931-1951|Central Europe
7143|urn:uuid:86080f5f-a60e-42af-80b7-4236258b0f27|jurist|female|media person|1931-1951|Central Europe
7144|urn:uuid:8049f387-45b3-4279-aade-cb4f148727c2|jurist|male|scientist|1931-1951|Central Europe
7145|urn:uuid:ecc5911b-ae5b-4c06-9a9e-3fea695b46f5|jurist|female|politician|1931-1951|Central Europe
7146|urn:uuid:ecc5911b-ae5b-4c06-9a9e-3fea695b46f5|jurist|female|scientist|1931-1951|Central Europe
7147|urn:uuid:af7f4001-7676-4f45-8d10-1d9fcf58bf35|jurist|male|politician|1871-1891|Central Europe
7148|urn:uuid:af7f4001-7676-4f45-8d10-1d9fcf58bf35|jurist|male|media person|1871-1891|Central Europe
7149|urn:uuid:e73cb924-4b07-4f07-b845-89f62c60c857|economist|male|politician|1931-1951|Central Europe
7150|urn:uuid:fa664909-88e9-4b28-8129-8e0dde2c006b|jurist|male|politician|1931-1951|Central Europe
7151|urn:uuid:330ae7c1-c62d-4ec4-88f4-fce95baf0f31|jurist|male|politician|1871-1891|Central Europe
7152|urn:uuid:330ae7c1-c62d-4ec4-88f4-fce95baf0f31|jurist|male|politician|1871-1891|Eastern Europe
7153|urn:uuid:33016141-6e82-4158-8c75-b169d9d91aa7|jurist|male|politician|1931-1951|Central Europe
7154|urn:uuid:54469af2-3c46-48df-b0d4-6e0a811ec10f|jurist|male|politician|1931-1951|Central Europe
7155|urn:uuid:54469af2-3c46-48df-b0d4-6e0a811ec10f|jurist|male|scientist|1931-1951|Central Europe
7156|urn:uuid:e1001470-95cf-4c95-983f-c2aa92f65b56|economist|male|scientist|1931-1951|Central Europe
7157|urn:uuid:308011ea-b903-4c9f-b6a0-e84fd2bae665|jurist|male|politician|1851-1871|Central Europe
7158|urn:uuid:f4c9c71e-631a-4319-946b-b1244fbed28c|jurist|male|politician|1931-1951|Central Europe
7159|urn:uuid:ad4542b2-e3d6-4707-84d0-9196cd3829d5|jurist|male|politician|1931-1951|Central Europe
7160|urn:uuid:110910d0-789b-4222-89b4-c1e1b7efd647|economist|male|politician|1871-1891|Central Europe
7161|urn:uuid:9ebde35b-7465-459b-b34f-1c3e3f33372a|economist|male|politician|1931-1951|Central Europe
7162|urn:uuid:9ebde35b-7465-459b-b34f-1c3e3f33372a|economist|male|scientist|1931-1951|Central Europe
7163|urn:uuid:0bc0bfc7-187f-4bca-a77f-690ecd04bf8d|jurist/economist|male|scientist|1891-1911|Central Europe
7164|urn:uuid:37fcef2b-348d-42cd-83ab-498da9207635|jurist|male|scientist|1931-1951|Central Europe
7165|urn:uuid:dbab0c79-a6fd-4fde-80b6-d80116b781eb|jurist|male|politician|1931-1951|Central Europe
7166|urn:uuid:7f6de043-b665-452e-9a43-870eb71ef800|jurist|male|scientist|1931-1951|Central Europe
7167|urn:uuid:3052bb53-da65-41b5-a751-57bc88a72cdf|economist|male|scientist|1931-1951|Central Europe
7168|urn:uuid:c4b194d6-c0b6-4789-8806-8d5067ec32db|economist|male|other|1931-1951|Central Europe
7169|urn:uuid:005984d8-fe8f-4163-b8f7-26f5c4037307|jurist|male|politician|1931-1951|Central Europe
7170|urn:uuid:9984facb-7526-4880-83b6-362520a732f8|jurist/economist|male|politician|1871-1891|Central Europe
7171|urn:uuid:9984facb-7526-4880-83b6-362520a732f8|jurist/economist|male|scientist|1871-1891|Central Europe
7172|urn:uuid:e98f3609-b9e0-44a8-aeaa-1c8cc5716e82|economist|male|scientist|1911-1931|Central Europe
7173|urn:uuid:75cdb364-5b23-4d53-bb85-912bd090c609|jurist|male|politician|1931-1951|Central Europe
7174|urn:uuid:ca2a136f-bd6a-4e39-a936-4c909632c517|jurist|male|scientist|1911-1931|Central Europe
7175|urn:uuid:d9aacf26-8587-40a7-9d2f-b2a05e76a22d|jurist|male|politician|1931-1951|Central Europe
7176|urn:uuid:d9aacf26-8587-40a7-9d2f-b2a05e76a22d|jurist|male|media person|1931-1951|Central Europe
7177|urn:uuid:7d3b91a4-2119-40b1-903b-06655248524d|jurist|male|politician|1871-1891|Central Europe
7178|urn:uuid:a72d42f0-055c-4197-a2b7-d05daed220eb|economist|male|politician|1911-1931|Central Europe
7179|urn:uuid:b6274443-d933-45f9-b58b-07c6e60a9d61|economist|male|politician|1911-1931|Central Europe
7180|urn:uuid:fbadfa20-0a1e-40f4-8b37-9aa5c7ec79e8|economist|male|other|1911-1931|Central Europe
7181|urn:uuid:041b2a9a-08da-46f2-a5f2-fd8b36b7db61|economist|male|businessperson|1931-1951|Central Europe
7182|urn:uuid:859c5820-f224-4510-9153-e0a4f1d54c0e|jurist|male|other|1891-1911|Central Europe
7183|urn:uuid:3728f563-4884-40ce-becf-67f4137e2377|jurist|male|other|1871-1891|Central Europe
7184|urn:uuid:6dfcfb77-3a9e-422b-be37-769fbb99b361|jurist|male|politician|1931-1951|Central Europe
7185|urn:uuid:7c8e03d8-3e37-4719-aae1-1c9d25f34a18|economist|male|scientist|1911-1931|Central Europe
7186|urn:uuid:5ae1df0f-e1b1-4e3c-9d75-7a701e30c213|jurist|male|other_occupation|1911-1931|Central Europe
7187|urn:uuid:ee1167a9-a616-4434-afbb-77eace7d30d3|economist|male|politician|1931-1951|Central Europe
7188|urn:uuid:9c45fcac-cf0c-4184-9cac-513e556dc069|economist|male|writer|1931-1951|Central Europe
7189|urn:uuid:3c966e73-1750-412a-b359-e1476477aafc|jurist|male|other_occupation|1891-1911|Central Europe
7190|urn:uuid:1151bb25-f639-4f8e-8da0-db327f451a5b|economist|male|scientist|1891-1911|Central Europe
7191|urn:uuid:4cdaa18c-45bd-4c62-9a1e-90ce156c0b27|jurist|male|other_occupation|1891-1911|Central Europe
7192|urn:uuid:26822db1-7bad-4f80-93de-ea81ee8fd368|jurist|male|scientist|1911-1931|Central Europe
7193|urn:uuid:3915e97a-5bcf-4b0b-a709-5c9b440795c7|economist|male|scientist|1931-1951|Central Europe
7194|urn:uuid:0203f6b6-5289-434e-a8de-87ca5d3d58d7|jurist|male|politician|1931-1951|Central Europe
7195|urn:uuid:55e87b9d-34d6-4099-bbe4-96542c38664b|jurist|male|media person|1931-1951|Central Europe
7196|urn:uuid:ae3949d7-e51b-4344-ae49-267dc597a74c|jurist|male|scientist|1851-1871|Central Europe
7197|urn:uuid:fb644ba1-094c-400a-b32f-c791ecf2ba78|economist|male|politician|1931-1951|Central Europe
7198|urn:uuid:fb644ba1-094c-400a-b32f-c791ecf2ba78|economist|male|athlete|1931-1951|Central Europe
7199|urn:uuid:e2c99cea-edb5-45d6-93e0-8cf5aac77ed3|economist|male|politician|1931-1951|Central Europe
7200|urn:uuid:9292c0bf-8a74-4ed9-8f4f-79a9e459dd27|jurist|male|politician|1931-1951|Central Europe
7201|urn:uuid:d0ab4e90-aed1-4039-baed-c3345ca3b5ed|jurist|male|media person|1931-1951|Central Europe
7202|urn:uuid:b2d1c3e1-0da9-4c7e-8713-5dd4df1f8646|jurist|female|other_occupation|1911-1931|Central Europe
7203|urn:uuid:f2a752f0-72f3-4bbd-a081-8cfbe97ae152|jurist|male|writer|1891-1911|Central Europe
7204|urn:uuid:a74adedc-e521-410e-9d2d-67bd737fa3fb|economist|male|politician|1931-1951|Central Europe
7205|urn:uuid:a74adedc-e521-410e-9d2d-67bd737fa3fb|economist|male|media person|1931-1951|Central Europe
7206|urn:uuid:7300790d-9c55-4c4e-b885-6123940c5269|economist|male|scientist|1931-1951|Central Europe
7207|urn:uuid:5c4b8ab0-e4bc-4a2e-935d-2e84ab2dbb45|jurist|male|politician|1931-1951|Central Europe
7208|urn:uuid:99dbdba6-bf92-4549-9574-2106ed226f4b|jurist|male|politician|1931-1951|Central Europe
7209|urn:uuid:1ef9a963-432c-45de-b68b-5d6ad663da82|jurist|male|scientist|1931-1951|Central Europe
7210|urn:uuid:5d9d7cfb-50c1-4df7-9374-3f1e10e51cf3|jurist|male|politician|1931-1951|Central Europe
7211|urn:uuid:a68268a1-e8a2-4d34-bb30-ec018804c6b3|economist|male|politician|1911-1931|Central Europe
7212|urn:uuid:a68268a1-e8a2-4d34-bb30-ec018804c6b3|economist|male|activist|1911-1931|Central Europe
7215|urn:uuid:22a38495-83cd-4280-ab98-64934095d832|jurist|male|scientist|1931-1951|Central Europe
7216|urn:uuid:2f8f97d1-a851-4155-b6b1-69ef32b0ce3c|jurist|male|scientist|1891-1911|Central Europe
7217|urn:uuid:a1440ba9-acf7-4577-8f6a-7a2864da420e|jurist|male|politician|1911-1931|Central Europe
7219|urn:uuid:63a85d82-d2a5-4692-aa2c-50764a5cccef|jurist|male|politician|1871-1891|Central Europe
7220|urn:uuid:63a85d82-d2a5-4692-aa2c-50764a5cccef|jurist|male|media person|1871-1891|Central Europe
7221|urn:uuid:63a85d82-d2a5-4692-aa2c-50764a5cccef|jurist|male|writer|1871-1891|Central Europe
7222|urn:uuid:63a85d82-d2a5-4692-aa2c-50764a5cccef|jurist|male|scientist|1871-1891|Central Europe
7223|urn:uuid:a3114751-77d9-4677-8731-d5f8614b31ba|economist|male|scientist|1891-1911|Central Europe
7225|urn:uuid:2140ec68-5682-4793-b8f1-a443a7f3ee35|economist|male|athlete|1931-1951|Central Europe
7226|urn:uuid:434ba321-357b-46e8-96b7-17fc4ba98b3a|jurist|male|politician|1851-1871|Central Europe
7227|urn:uuid:a4aa9741-1bda-4ed4-9fc1-b0e2d8e5d78f|jurist|male|politician|1791-1811|Central Europe
7228|urn:uuid:dee9c1fd-9b65-4dca-827e-099d3ffae8c8|jurist|male|politician|1931-1951|Central Europe
7229|urn:uuid:dee9c1fd-9b65-4dca-827e-099d3ffae8c8|jurist|male|scientist|1931-1951|Central Europe
7230|urn:uuid:de9686a0-b3c1-4ddc-8345-7a949e4df8c2|jurist|male|other_occupation|1891-1911|Central Europe
7231|urn:uuid:c42d87e1-a0d2-42b3-ac0b-1f714fd290ba|jurist|male|politician|1851-1871|Central Europe
7232|urn:uuid:012f8bd2-6992-4b23-a9e0-19598acfc0ef|economist|male|politician|1891-1911|Central Europe
7233|urn:uuid:600d87fb-16bf-4c27-b535-bd52dfe2c045|jurist|male|politician|1831-1851|Central Europe
7234|urn:uuid:eef68ca5-bfb1-4ca5-9ce3-4eec3637b6b4|economist|male|politician|1871-1891|Central Europe
7235|urn:uuid:8563bf5c-5064-47f2-bba1-1ac1224c725d|economist|female|scientist|1931-1951|Central Europe
7236|urn:uuid:c1fecb94-9a57-4c80-bb9e-2704d129f783|jurist|male|writer|1911-1931|Central Europe
7237|urn:uuid:3e413894-1412-4adc-b22b-e32a099dbadd|jurist|male|politician|1851-1871|Central Europe
7238|urn:uuid:ac4c823c-6637-45a9-84f6-fb3953006848|economist|male|politician|1931-1951|Central Europe
7239|urn:uuid:3f87c5a2-dc3d-46cc-8397-9a25048580af|economist|male|media person|1911-1931|Central Europe
7240|urn:uuid:7a01e450-e3a7-4223-9ba6-875f09b450f2|economist|male|scientist|1931-1951|Central Europe
7241|urn:uuid:6a448772-bcd2-4115-8190-1304983184f0|economist|male|scientist|1891-1911|Central Europe
7242|urn:uuid:d6db87ac-d3d5-4458-b791-593a3cacec80|economist|male|politician|1911-1931|Central Europe
7243|urn:uuid:a8cf5292-4f8b-4e3e-9255-3c1a37ebd543|jurist|male|politician|1931-1951|Central Europe
7244|urn:uuid:cadd7a9c-f6f7-41dd-aa7e-2271dbaf3583|economist|male|politician|1931-1951|Central Europe
7245|urn:uuid:cadd7a9c-f6f7-41dd-aa7e-2271dbaf3583|economist|male|media person|1931-1951|Central Europe
7246|urn:uuid:113428c4-92e5-4563-8fea-01e75b522545|economist|male|politician|1931-1951|Central Europe
7247|urn:uuid:113428c4-92e5-4563-8fea-01e75b522545|economist|male|other|1931-1951|Central Europe
7248|urn:uuid:3abcf331-47ab-466a-b0b7-961d7f96d5c2|jurist|male|politician|1851-1871|Central Europe
7249|urn:uuid:e0485332-f853-42a0-a428-e19fd8547715|economist|female|politician|1931-1951|Central Europe
7250|urn:uuid:e0485332-f853-42a0-a428-e19fd8547715|economist|female|scientist|1931-1951|Central Europe
7251|urn:uuid:4c92717e-38e9-4728-9647-3e0fdfce94f2|economist|male|scientist|1891-1911|Central Europe
7252|urn:uuid:655226ab-f9f7-4d56-b743-4f51ee56a299|economist|male|other|1871-1891|Central Europe
7253|urn:uuid:7b8627f0-ea17-4260-892e-9d5a7cb1e32b|economist|male|media person|1871-1891|Central Europe
7254|urn:uuid:50d97aa9-1a56-4098-9803-6f12afcd0726|economist|male|scientist|1911-1931|Central Europe
7255|urn:uuid:50d97aa9-1a56-4098-9803-6f12afcd0726|economist|male|writer|1911-1931|Central Europe
7256|urn:uuid:70d272c1-5db9-44bf-b899-8f890c8099f3|economist|male|scientist|1911-1931|Central Europe
7257|urn:uuid:8c777db9-9acc-4e25-8a06-5567e379df97|economist|male|scientist|1911-1931|Central Europe
7258|urn:uuid:f92a92e1-1a92-4f31-853b-806f2a075a74|jurist|male|politician|1931-1951|Central Europe
7259|urn:uuid:ab536b2a-956e-4ce1-8c3b-2142dfb11def|economist|male|politician|1851-1871|Central Europe
7260|urn:uuid:ab536b2a-956e-4ce1-8c3b-2142dfb11def|economist|male|other|1851-1871|Central Europe
7261|urn:uuid:4dd7b85c-7a53-4ecb-82d6-51bda38d2a21|jurist|male|politician|1871-1891|Central Europe
7262|urn:uuid:9862ec6a-87ec-4b54-bf9b-ff711fa46a96|economist|male|scientist|1911-1931|Central Europe
7263|urn:uuid:b10c1561-72a6-4639-ab99-6ce0b3df2541|jurist|male|politician|1851-1871|Central Europe
7264|urn:uuid:b10c1561-72a6-4639-ab99-6ce0b3df2541|jurist|male|scientist|1851-1871|Central Europe
7265|urn:uuid:00cadf70-5573-48af-bb91-c52f33e30f33|jurist|male|writer|1871-1891|Central Europe
7266|urn:uuid:010eebda-bbf3-4cc2-bfd7-7d5d59e230cd|jurist|male|politician|1851-1871|Central Europe
7267|urn:uuid:96b470ff-0f8d-4f6b-a480-754c3b095505|jurist|male|politician|1931-1951|Central Europe
7268|urn:uuid:c5dfc6b2-e4d9-4c54-8985-0accbe406b26|jurist|male|politician|1871-1891|Central Europe
7269|urn:uuid:c5dfc6b2-e4d9-4c54-8985-0accbe406b26|jurist|male|media person|1871-1891|Central Europe
7270|urn:uuid:904b414c-7538-40fb-91c5-497a4d3bc0c2|economist|male|athlete|1911-1931|Central Europe
7271|urn:uuid:374b4ae7-bc4a-4881-8d64-c97623bc942b|jurist|male|athlete|1911-1931|Central Europe
7272|urn:uuid:3d5e2561-c4aa-424a-bb05-437fcf4c6232|jurist|female|politician|1931-1951|Central Europe
7273|urn:uuid:3d5e2561-c4aa-424a-bb05-437fcf4c6232|jurist|female|scientist|1931-1951|Central Europe
7274|urn:uuid:3d5e2561-c4aa-424a-bb05-437fcf4c6232|jurist|female|other|1931-1951|Central Europe
7275|urn:uuid:185891a1-04d1-4e3b-8571-51c64d8efa6f|jurist|male|politician|1911-1931|Central Europe
7276|urn:uuid:185891a1-04d1-4e3b-8571-51c64d8efa6f|jurist|male|scientist|1911-1931|Central Europe
7277|urn:uuid:29ce60dd-7d2a-4c46-a985-bfac25140d94|jurist|male|politician|1851-1871|Central Europe
7278|urn:uuid:29ce60dd-7d2a-4c46-a985-bfac25140d94|jurist|male|other|1851-1871|Central Europe
7279|urn:uuid:951d89c6-b228-49c4-85b0-08ee8c3e3554|jurist|male|writer|1931-1951|Central Europe
7280|urn:uuid:c595f553-f8c9-4b69-8e85-22a75b4aeafa|jurist|male|politician|1851-1871|Central Europe
7281|urn:uuid:3222c7b8-864f-4d45-a359-f9c529ad9d13|jurist|male|scientist|1931-1951|Central Europe
7282|urn:uuid:f17bc190-1c52-4484-9d4d-d9f5ca7c9649|economist|male|scientist|1931-1951|Central Europe
7283|urn:uuid:f17bc190-1c52-4484-9d4d-d9f5ca7c9649|economist|male|writer|1931-1951|Central Europe
7284|urn:uuid:f17bc190-1c52-4484-9d4d-d9f5ca7c9649|economist|male|media person|1931-1951|Central Europe
7286|urn:uuid:7b08a487-48e0-4c16-a854-ca74ceca0433|economist|male|businessperson|1851-1871|Central Europe
7287|urn:uuid:fea370e9-dbac-4458-82af-7daaf3cb376e|jurist|male|politician|1851-1871|Central Europe
7288|urn:uuid:4a77520d-c1a8-4ffb-9d64-3a1d63dac834|economist|male|politician|1871-1891|Central Europe
7289|urn:uuid:55d04e73-2a04-425d-8bf7-d5199622828f|jurist|male|scientist|1931-1951|Central Europe
7290|urn:uuid:55d04e73-2a04-425d-8bf7-d5199622828f|jurist|male|politician|1931-1951|Central Europe
7291|urn:uuid:876cf16d-cb47-4200-bce2-55fe64874c01|economist|male|politician|1911-1931|Central Europe
7292|urn:uuid:e90a2729-7f0a-44d4-b783-bc17ac5edd8a|jurist|male|politician|1871-1891|Central Europe
7293|urn:uuid:f24e90ce-4021-4397-8728-53abe8a7974b|jurist|male|politician|1831-1851|Central Europe
7294|urn:uuid:f24e90ce-4021-4397-8728-53abe8a7974b|jurist|male|scientist|1831-1851|Central Europe
7295|urn:uuid:f24e90ce-4021-4397-8728-53abe8a7974b|jurist|male|teacher|1831-1851|Central Europe
7296|urn:uuid:f24e90ce-4021-4397-8728-53abe8a7974b|jurist|male|writer|1831-1851|Central Europe
7298|urn:uuid:c08b0702-20f6-45b7-a673-475a79973a8e|jurist|male|writer|1911-1931|Central Europe
7299|urn:uuid:c08b0702-20f6-45b7-a673-475a79973a8e|jurist|male|other|1911-1931|Central Europe
7300|urn:uuid:c7dd84ae-d240-43f0-8086-289eee658d9a|economist|female|politician|1931-1951|Central Europe
7301|urn:uuid:6826a9eb-f75b-4538-9019-e13c4e07443d|economist|male|scientist|1911-1931|Central Europe
7302|urn:uuid:4f46f426-db8c-45bb-9e3d-f42a93be06ea|jurist|male|scientist|1931-1951|Central Europe
7303|urn:uuid:c7e1512d-d12b-4974-9441-4794d20603a1|jurist|male|scientist|1891-1911|Central Europe
7304|urn:uuid:1d6af698-14ed-4ff5-a781-6a95397ce5a7|jurist|male|politician|1911-1931|Central Europe
7305|urn:uuid:1d6af698-14ed-4ff5-a781-6a95397ce5a7|jurist|male|scientist|1911-1931|Central Europe
7306|urn:uuid:bada15ee-4898-43a0-9b01-708840e970da|economist|male|politician|1911-1931|Central Europe
7307|urn:uuid:bc84fc1b-da47-478b-914f-d52bdbfa883d|jurist|male|politician|1871-1891|Central Europe
7308|urn:uuid:4ba0bea0-c6bc-45d9-a4c6-2ea82ed50695|jurist|male|scientist|1871-1891|Central Europe
7309|urn:uuid:f647ab90-6490-4e5c-ba53-bd7d8068264f|economist|male|politician|1931-1951|Central Europe
7310|urn:uuid:30c7076b-5182-49f1-9d18-13e7652e8d5f|economist|male|politician|1931-1951|Central Europe
7311|urn:uuid:02c8f9b3-631c-4905-bdcf-115bfe1eeb35|economist|male|politician|1911-1931|Central Europe
7312|urn:uuid:02c8f9b3-631c-4905-bdcf-115bfe1eeb35|economist|male|scientist|1911-1931|Central Europe
7313|urn:uuid:3be45443-c226-410f-b2cf-9007fffd92ce|jurist|male|writer|1831-1851|Central Europe
7314|urn:uuid:3be45443-c226-410f-b2cf-9007fffd92ce|jurist|male|other|1831-1851|Central Europe
7315|urn:uuid:cbe8e065-d93f-42ef-a958-aecab7df0da4|economist|male|other|1931-1951|Central Europe
7316|urn:uuid:95dc8298-6cb4-4193-a215-f9aa3d7b45c2|jurist|male|politician|1851-1871|Central Europe
7317|urn:uuid:4d8279ad-e811-4c48-92c3-8fa81b5b2aa9|jurist|male|politician|1871-1891|Central Europe
7318|urn:uuid:17cda740-b5b1-4fd3-9218-b295eb254edb|jurist|male|other|1871-1891|Central Europe
7319|urn:uuid:33f3b638-b9b5-4df4-ab97-aa62f335af64|jurist|male|politician|1871-1891|Central Europe
7320|urn:uuid:33f3b638-b9b5-4df4-ab97-aa62f335af64|jurist|male|media person|1871-1891|Central Europe
7321|urn:uuid:33f3b638-b9b5-4df4-ab97-aa62f335af64|jurist|male|scientist|1871-1891|Central Europe
7325|urn:uuid:9fd9829f-232b-4162-b893-7452d6d73a5d|jurist|male|politician|1931-1951|Central Europe
7326|urn:uuid:d37017ed-ee0c-4ae8-8295-e13dfb901756|economist|male|scientist|1891-1911|Central Europe
7327|urn:uuid:fba5af7e-03e6-4f8c-9b20-1b37290d0b2a|jurist|male|writer|1911-1931|Central Europe
7328|urn:uuid:fba5af7e-03e6-4f8c-9b20-1b37290d0b2a|jurist|male|activist|1911-1931|Central Europe
7329|urn:uuid:fbf4617a-3cab-40d4-9455-dfc708c7d70e|economist|male|athlete|1891-1911|Central Europe
7330|urn:uuid:8939edd1-5ed7-4e1a-8e4b-2c176423b2ff|economist|female|politician|1931-1951|Central Europe
7331|urn:uuid:5e5bc341-8327-4ef1-8716-18542061507d|economist|male|scientist|1891-1911|Central Europe
7332|urn:uuid:5e5bc341-8327-4ef1-8716-18542061507d|economist|male|other|1891-1911|Central Europe
7333|urn:uuid:dd067109-2f48-4328-a93f-671dc0fce723|economist|female|politician|1931-1951|Central Europe
7334|urn:uuid:750fd168-385f-4001-9aad-7baec15f23fc|jurist|female|scientist|1931-1951|Central Europe
7336|urn:uuid:927b36bf-3e12-47a0-b619-3a05155901d7|jurist|female|politician|1931-1951|Central Europe
7337|urn:uuid:2ab98565-4595-44bf-8b6a-327d50c967ee|economist|female|scientist|1931-1951|Central Europe
7338|urn:uuid:4337c1a4-299b-4aa2-955b-729734f099bd|jurist|male|scientist|1931-1951|Central Europe
7339|urn:uuid:4337c1a4-299b-4aa2-955b-729734f099bd|jurist|male|politician|1931-1951|Central Europe
7340|urn:uuid:4337c1a4-299b-4aa2-955b-729734f099bd|jurist|male|activist|1931-1951|Central Europe
7341|urn:uuid:5c89d2de-d65a-4597-a86f-e12b049bd677|economist|male|other|1851-1871|Central Europe
7342|urn:uuid:011a9832-9bc4-403e-941c-489f8425af92|jurist|male|other|1891-1911|Central Europe
7343|urn:uuid:36b874c6-3cf9-4bf4-9500-a7cbe6683a7a|economist|male|politician|1931-1951|Central Europe
7344|urn:uuid:36b874c6-3cf9-4bf4-9500-a7cbe6683a7a|economist|male|other|1931-1951|Central Europe
7345|urn:uuid:71eff7ab-1da9-44af-bc1e-b28f5889df98|jurist|male|scientist|1931-1951|Central Europe
7346|urn:uuid:132efbed-e2cc-43e6-8e1c-477a027cef5f|jurist|male|politician|1891-1911|Central Europe
7347|urn:uuid:132efbed-e2cc-43e6-8e1c-477a027cef5f|jurist|male|media person|1891-1911|Central Europe
